HatchData,,HatchData,,HatchData,
8.705823931,21.92954406,8.7 ,21.9 ,9 ,22 
8.750612354,21.93815169,8.8 ,21.9 ,9 ,22 
8.795230179,21.94388292,8.8 ,21.9 ,9 ,22 
8.839681725,21.94679604,8.8 ,21.9 ,9 ,22 
8.883970232,21.94694288,8.9 ,21.9 ,9 ,22 
8.928100017,21.94437959,8.9 ,21.9 ,9 ,22 
8.972075401,21.939158,9.0 ,21.9 ,9 ,22 
9.015899622,21.93133641,9.0 ,21.9 ,9 ,22 
9.059576999,21.92096881,9.1 ,21.9 ,9 ,22 
9.103111852,21.90810703,9.1 ,21.9 ,9 ,22 
9.146506339,21.89280937,9.1 ,21.9 ,9 ,22 
9.189766939,21.87512549,9.2 ,21.9 ,9 ,22 
9.232894732,21.85511587,9.2 ,21.9 ,9 ,22 
9.275896196,21.83283233,9.3 ,21.8 ,9 ,22 
9.31877457,21.80832886,9.3 ,21.8 ,9 ,22 
9.361532015,21.78165945,9.4 ,21.8 ,9 ,22 
9.404175007,21.75288239,9.4 ,21.8 ,9 ,22 
9.446705708,21.72204952,9.4 ,21.7 ,9 ,22 
9.489128434,21.68921483,9.5 ,21.7 ,9 ,22 
9.531448587,21.65443445,9.5 ,21.7 ,10 ,22 
9.573667244,21.61776239,9.6 ,21.6 ,10 ,22 
9.615790885,21.57925477,9.6 ,21.6 ,10 ,22 
9.678804129,21.51816562,9.7 ,21.5 ,10 ,22 
9.762523421,21.4307979,9.8 ,21.4 ,10 ,21 
9.84592743,21.33706408,9.8 ,21.3 ,10 ,21 
9.929050709,21.23740469,9.9 ,21.2 ,10 ,21 
10.01192241,21.13225377,10.0 ,21.1 ,10 ,21 
10.09457493,21.02204969,10.1 ,21.0 ,10 ,21 
10.17703957,20.90723084,10.2 ,20.9 ,10 ,21 
10.25934657,20.78823126,10.3 ,20.8 ,10 ,21 
10.3415294,20.66549148,10.3 ,20.7 ,10 ,21 
10.42361721,20.53944555,10.4 ,20.5 ,10 ,21 
10.54664204,20.34513672,10.5 ,20.3 ,11 ,20 
10.71063736,20.07856781,10.7 ,20.1 ,11 ,20 
10.95706276,19.66976993,11.0 ,19.7 ,11 ,20 
11.20475793,19.26072372,11.2 ,19.3 ,11 ,19 
11.32934621,19.05979612,11.3 ,19.1 ,11 ,19 
11.4127513,18.92817661,11.4 ,18.9 ,11 ,19 
11.4964706,18.79893252,11.5 ,18.8 ,11 ,19 
11.58053432,18.67250221,11.6 ,18.7 ,12 ,19 
11.6649738,18.5493219,11.7 ,18.5 ,12 ,19 
11.74982141,18.42982996,11.7 ,18.4 ,12 ,18 
11.79240767,18.37160225,11.8 ,18.4 ,12 ,18 
11.81376754,18.34333684,11.8 ,18.3 ,12 ,18 
11.8567161,18.29025498,11.9 ,18.3 ,12 ,18 
11.89995835,18.24169073,11.9 ,18.2 ,12 ,18 
11.94347916,18.19754691,11.9 ,18.2 ,12 ,18 
11.98726451,18.15772634,12.0 ,18.2 ,12 ,18 
12.03130252,18.12213184,12.0 ,18.1 ,12 ,18 
12.07557807,18.09066625,12.1 ,18.1 ,12 ,18 
12.12007712,18.06323023,12.1 ,18.1 ,12 ,18 
12.16478673,18.03972875,12.2 ,18.0 ,12 ,18 
12.20969284,18.02006464,12.2 ,18.0 ,12 ,18 
12.25478143,18.00413857,12.3 ,18.0 ,12 ,18 
12.30003846,17.99185553,12.3 ,18.0 ,12 ,18 
12.34545096,17.98311616,12.3 ,18.0 ,12 ,18 
12.39100492,17.97782331,12.4 ,18.0 ,12 ,18 
12.43668628,17.97587979,12.4 ,18.0 ,12 ,18 
12.4824821,17.97718843,12.5 ,18.0 ,12 ,18 
12.52837725,17.98165205,12.5 ,18.0 ,13 ,18 
12.57435877,17.98917347,12.6 ,18.0 ,13 ,18 
12.62041156,17.99965336,12.6 ,18.0 ,13 ,18 
12.66652482,18.01299887,12.7 ,18.0 ,13 ,18 
12.71268127,18.02910633,12.7 ,18.0 ,13 ,18 
12.7588701,18.04788505,12.8 ,18.0 ,13 ,18 
12.80507622,18.06923138,12.8 ,18.1 ,13 ,18 
12.85128557,18.09305246,12.9 ,18.1 ,13 ,18 
12.89748412,18.11924896,12.9 ,18.1 ,13 ,18 
12.94365892,18.14772369,12.9 ,18.1 ,13 ,18 
12.98979593,18.17838164,13.0 ,18.2 ,13 ,18 
13.03588112,18.21112132,13.0 ,18.2 ,13 ,18 
13.08190152,18.24584554,13.1 ,18.2 ,13 ,18 
13.12784309,18.28246146,13.1 ,18.3 ,13 ,18 
13.19657569,18.34071308,13.2 ,18.3 ,13 ,18 
13.28781424,18.42408362,13.3 ,18.4 ,13 ,18 
13.3784881,18.51325881,13.4 ,18.5 ,13 ,19 
13.46848712,18.60745691,13.5 ,18.6 ,13 ,19 
13.55770009,18.70590053,13.6 ,18.7 ,14 ,19 
13.64601905,18.80781009,13.6 ,18.8 ,14 ,19 
13.73333169,18.91240819,13.7 ,18.9 ,14 ,19 
13.81952897,19.01891309,13.8 ,19.0 ,14 ,19 
13.90449968,19.1265474,13.9 ,19.1 ,14 ,19 
14.11083998,19.39546365,14.1 ,19.4 ,14 ,19 
14.34499961,19.70391542,14.3 ,19.7 ,14 ,20 
14.45571008,19.84617678,14.5 ,19.8 ,14 ,20 
14.52690446,19.93480346,14.5 ,19.9 ,15 ,20 
14.59588107,20.01754776,14.6 ,20.0 ,15 ,20 
14.6625287,20.09363225,14.7 ,20.1 ,15 ,20 
14.72673829,20.16227523,14.7 ,20.2 ,15 ,20 
14.78839971,20.22270143,14.8 ,20.2 ,15 ,20 
14.83290632,20.26215921,14.8 ,20.3 ,15 ,20 
14.86172332,20.28549225,14.9 ,20.3 ,15 ,20 
14.88984066,20.30632895,14.9 ,20.3 ,15 ,20 
14.91724646,20.3245786,14.9 ,20.3 ,15 ,20 
14.94392451,20.34013972,14.9 ,20.3 ,15 ,20 
14.96986187,20.35291512,15.0 ,20.4 ,15 ,20 
14.99504557,20.36280764,15.0 ,20.4 ,15 ,20 
15.0194605,20.36972225,15.0 ,20.4 ,15 ,20 
15.04309371,20.37355963,15.0 ,20.4 ,15 ,20 
15.06593115,20.37422258,15.1 ,20.4 ,15 ,20 
15.08795987,20.37161179,15.1 ,20.4 ,15 ,20 
15.10916476,20.36563438,15.1 ,20.4 ,15 ,20 
15.12953285,20.35618888,15.1 ,20.4 ,15 ,20 
15.14905011,20.34318025,15.1 ,20.3 ,15 ,20 
15.16770251,20.32651132,15.2 ,20.3 ,15 ,20 
15.18547708,20.30608277,15.2 ,20.3 ,15 ,20 
15.20235979,20.2817974,15.2 ,20.3 ,15 ,20 
15.21833553,20.25356021,15.2 ,20.3 ,15 ,20 
15.23339241,20.22127186,15.2 ,20.2 ,15 ,20 
15.24751532,20.18483518,15.2 ,20.2 ,15 ,20 
15.26069131,20.14415298,15.3 ,20.1 ,15 ,20 
15.27290633,20.0991281,15.3 ,20.1 ,15 ,20 
15.28414744,20.04966335,15.3 ,20.0 ,15 ,20 
15.29439843,19.9956594,15.3 ,20.0 ,15 ,20 
15.30364851,19.93702124,15.3 ,19.9 ,15 ,20 
15.31188147,19.87365168,15.3 ,19.9 ,15 ,20 
15.31908437,19.8054514,15.3 ,19.8 ,15 ,20 
15.32524425,19.73232537,15.3 ,19.7 ,15 ,20 
15.33249682,19.61318326,15.3 ,19.6 ,15 ,20 
15.33838461,19.43617608,15.3 ,19.4 ,15 ,19 
15.33984981,19.23770596,15.3 ,19.2 ,15 ,19 
15.33678229,19.01699549,15.3 ,19.0 ,15 ,19 
15.32907191,18.77326726,15.3 ,18.8 ,15 ,19 
15.31660747,18.50573954,15.3 ,18.5 ,15 ,19 
15.2992799,18.21363709,15.3 ,18.2 ,15 ,18 
15.27697801,17.89617819,15.3 ,17.9 ,15 ,18 
15.24959165,17.55258325,15.2 ,17.6 ,15 ,18 
15.21701177,17.18207488,15.2 ,17.2 ,15 ,17 
15.17912717,16.78387566,15.2 ,16.8 ,15 ,17 
15.13582662,16.35720172,15.1 ,16.4 ,15 ,16 
15.08700215,15.90127995,15.1 ,15.9 ,15 ,16 
15.03254255,15.41532648,15.0 ,15.4 ,15 ,15 
15.00316424,15.16084569,15.0 ,15.2 ,15 ,15 
14.98860172,15.03213772,15.0 ,15.0 ,15 ,15 
14.96237716,14.77755601,15.0 ,14.8 ,15 ,15 
14.93995217,14.52672206,14.9 ,14.5 ,15 ,15 
14.92124471,14.27960238,14.9 ,14.3 ,15 ,14 
14.90617703,14.0361592,14.9 ,14.0 ,15 ,14 
14.89466707,13.79635796,14.9 ,13.8 ,15 ,14 
14.88663493,13.56016303,14.9 ,13.6 ,15 ,14 
14.88200072,13.32753986,14.9 ,13.3 ,15 ,13 
14.88068452,13.09845174,14.9 ,13.1 ,15 ,13 
14.88260645,12.87286303,14.9 ,12.9 ,15 ,13 
14.88768444,12.65073919,14.9 ,12.7 ,15 ,13 
14.89583966,12.43204457,14.9 ,12.4 ,15 ,12 
14.90699223,12.21674249,14.9 ,12.2 ,15 ,12 
14.92106116,12.00479837,14.9 ,12.0 ,15 ,12 
14.93796654,11.79617659,14.9 ,11.8 ,15 ,12 
14.95762741,11.59084153,15.0 ,11.6 ,15 ,12 
14.97996493,11.38875753,15.0 ,11.4 ,15 ,11 
15.00489706,11.18989007,15.0 ,11.2 ,15 ,11 
15.03234496,10.99420134,15.0 ,11.0 ,15 ,11 
15.06222875,10.80165895,15.1 ,10.8 ,15 ,11 
15.09446743,10.61222512,15.1 ,10.6 ,15 ,11 
15.12898003,10.42586421,15.1 ,10.4 ,15 ,10 
15.16568772,10.24254274,15.2 ,10.2 ,15 ,10 
15.20450954,10.06222294,15.2 ,10.1 ,15 ,10 
15.24536665,9.884870244,15.2 ,9.9 ,15 ,10 
15.28817593,9.710449024,15.3 ,9.7 ,15 ,10 
15.33285961,9.538924729,15.3 ,9.5 ,15 ,10 
15.37933674,9.370259568,15.4 ,9.4 ,15 ,9 
15.42752632,9.204420069,15.4 ,9.2 ,15 ,9 
15.47734954,9.041370601,15.5 ,9.0 ,15 ,9 
15.52872542,8.881074454,15.5 ,8.9 ,16 ,9 
15.58157405,8.723497076,15.6 ,8.7 ,16 ,9 
15.63581446,8.568602835,15.6 ,8.6 ,16 ,9 
15.69136783,8.416356101,15.7 ,8.4 ,16 ,8 
15.74815209,8.266720162,15.7 ,8.3 ,16 ,8 
15.80608843,8.119661547,15.8 ,8.1 ,16 ,8 
15.86509586,7.975143544,15.9 ,8.0 ,16 ,8 
15.92509449,7.833131603,15.9 ,7.8 ,16 ,8 
15.98600441,7.693587933,16.0 ,7.7 ,16 ,8 
16.04774465,7.556480141,16.0 ,7.6 ,16 ,8 
16.1102353,7.421770437,16.1 ,7.4 ,16 ,7 
16.17339647,7.28942319,16.2 ,7.3 ,16 ,7 
16.23714825,7.159404928,16.2 ,7.2 ,16 ,7 
16.30140859,7.031677861,16.3 ,7.0 ,16 ,7 
16.39858136,6.844308477,16.4 ,6.8 ,16 ,7 
16.52917943,6.602173934,16.5 ,6.6 ,17 ,7 
16.66037245,6.368568205,16.7 ,6.4 ,17 ,6 
16.79152011,6.1432084,16.8 ,6.1 ,17 ,6 
16.92197782,5.92580947,16.9 ,5.9 ,17 ,6 
17.05110638,5.716087985,17.1 ,5.7 ,17 ,6 
17.24090085,5.415278566,17.2 ,5.4 ,17 ,5 
17.48331504,5.038416504,17.5 ,5.0 ,17 ,5 
17.65433402,4.772689784,17.7 ,4.8 ,18 ,5 
17.76200396,4.603063121,17.8 ,4.6 ,18 ,5 
17.8638509,4.439124493,17.9 ,4.4 ,18 ,4 
17.95923239,4.280589931,18.0 ,4.3 ,18 ,4 
18.04750924,4.127174385,18.0 ,4.1 ,18 ,4 
18.12803792,3.978594965,18.1 ,4.0 ,18 ,4 
18.18296396,3.870162194,18.2 ,3.9 ,18 ,4 
18.2168244,3.799237204,18.2 ,3.8 ,18 ,4 
18.24838717,3.729361174,18.2 ,3.7 ,18 ,4 
18.27757236,3.660498475,18.3 ,3.7 ,18 ,4 
18.30430008,3.592614014,18.3 ,3.6 ,18 ,4 
18.32848827,3.52567162,18.3 ,3.5 ,18 ,4 
18.35005703,3.459636202,18.4 ,3.5 ,18 ,3 
18.36892645,3.394472669,18.4 ,3.4 ,18 ,3 
18.38501664,3.33014485,18.4 ,3.3 ,18 ,3 
18.39824769,3.266617653,18.4 ,3.3 ,18 ,3 
18.40853755,3.203854908,18.4 ,3.2 ,18 ,3 
18.41580848,3.141821522,18.4 ,3.1 ,18 ,3 
18.41998057,3.080482405,18.4 ,3.1 ,18 ,3 
18.4209696,3.019801386,18.4 ,3.0 ,18 ,3 
18.4187,2.959743372,18.4 ,3.0 ,18 ,3 
18.41308755,2.900272194,18.4 ,2.9 ,18 ,3 
18.4040545,2.8413533,18.4 ,2.8 ,18 ,3 
18.39152095,2.782949978,18.4 ,2.8 ,18 ,3 
18.37540485,2.725028217,18.4 ,2.7 ,18 ,3 
18.35562629,2.667550767,18.4 ,2.7 ,18 ,3 
18.33210754,2.610483615,18.3 ,2.6 ,18 ,3 
18.30476653,2.553790591,18.3 ,2.6 ,18 ,3 
18.2735212,2.497436064,18.3 ,2.5 ,18 ,2 
18.23829382,2.441384941,18.2 ,2.4 ,18 ,2 
18.19900448,2.385601053,18.2 ,2.4 ,18 ,2 
18.15557112,2.330049307,18.2 ,2.3 ,18 ,2 
18.10791385,2.274694073,18.1 ,2.3 ,18 ,2 
18.05595276,2.219500259,18.1 ,2.2 ,18 ,2 
17.99960795,2.164431693,18.0 ,2.2 ,18 ,2 
17.93879952,2.109453286,17.9 ,2.1 ,18 ,2 
17.87344649,2.054529405,17.9 ,2.1 ,18 ,2 
17.80347005,1.99962442,17.8 ,2.0 ,18 ,2 
17.72878704,1.944702699,17.7 ,1.9 ,18 ,2 
17.64932082,1.88972915,17.6 ,1.9 ,18 ,2 
17.56498824,1.834667603,17.6 ,1.8 ,18 ,2 
17.47571048,1.779483507,17.5 ,1.8 ,17 ,2 
17.38140656,1.72414069,17.4 ,1.7 ,17 ,2 
17.28199766,1.66860352,17.3 ,1.7 ,17 ,2 
17.17740173,1.612836907,17.2 ,1.6 ,17 ,2 
17.06753993,1.55680468,17.1 ,1.6 ,17 ,2 
16.95233129,1.500472287,17.0 ,1.5 ,17 ,2 
16.83169699,1.443803557,16.8 ,1.4 ,17 ,1 
16.70555389,1.386762859,16.7 ,1.4 ,17 ,1 
16.57382533,1.329315101,16.6 ,1.3 ,17 ,1 
16.43642817,1.271424113,16.4 ,1.3 ,16 ,1 
16.29328359,1.213055343,16.3 ,1.2 ,16 ,1 
16.14431061,1.154172619,16.1 ,1.2 ,16 ,1 
15.9894304,1.094740312,16.0 ,1.1 ,16 ,1 
15.82856092,1.034723598,15.8 ,1.0 ,16 ,1 
15.66162333,0.974086308,15.7 ,1.0 ,16 ,1 
15.48853774,0.91279308,15.5 ,0.9 ,15 ,1 
15.30922209,0.850808282,15.3 ,0.9 ,15 ,1 
15.21720335,0.819545625,15.2 ,0.8 ,15 ,1 
15.03234712,0.757615139,15.0 ,0.8 ,15 ,1 
14.66724498,0.63835723,14.7 ,0.6 ,15 ,1 
14.30833186,0.525068898,14.3 ,0.5 ,14 ,1 
13.95565421,0.417549582,14.0 ,0.4 ,14 ,0 
13.60926276,0.315598181,13.6 ,0.3 ,14 ,0 
13.26920611,0.219013865,13.3 ,0.2 ,13 ,0 
12.93553285,0.127595534,12.9 ,0.1 ,13 ,0 
12.60829264,0.041142897,12.6 ,0.0 ,13 ,0 
12.28753298,-0.040545417,12.3 ,0.0 ,12 ,0 
11.97330572,-0.117669967,12.0 ,-0.1 ,12 ,0 
11.66565727,-0.190431854,11.7 ,-0.2 ,12 ,0 
11.3646373,-0.259031908,11.4 ,-0.3 ,11 ,0 
11.07029549,-0.323670691,11.1 ,-0.3 ,11 ,0 
10.78268041,-0.384549571,10.8 ,-0.4 ,11 ,0 
10.50184066,-0.441869111,10.5 ,-0.4 ,11 ,0 
10.22782591,-0.495830139,10.2 ,-0.5 ,10 ,0 
9.96068366,-0.546633487,10.0 ,-0.5 ,10 ,-1 
9.700465741,-0.594480525,9.7 ,-0.6 ,10 ,-1 
9.323224152,-0.661146237,9.3 ,-0.7 ,9 ,-1 
8.844922212,-0.741560465,8.8 ,-0.7 ,9 ,-1 
8.395192718,-0.81376332,8.4 ,-0.8 ,8 ,-1 
7.77502892,-0.910187295,7.8 ,-0.9 ,8 ,-1 
7.221357266,-0.99717521,7.2 ,-1.0 ,7 ,-1 
6.88983591,-1.052603192,6.9 ,-1.1 ,7 ,-1 
6.661209912,-1.093970479,6.7 ,-1.1 ,7 ,-1 
6.518415704,-1.121828412,6.5 ,-1.1 ,7 ,-1 
6.383376681,-1.150144287,6.4 ,-1.2 ,6 ,-1 
6.256141972,-1.179119203,6.3 ,-1.2 ,6 ,-1 
6.136760704,-1.208953858,6.1 ,-1.2 ,6 ,-1 
6.025282005,-1.239849216,6.0 ,-1.2 ,6 ,-1 
5.921755003,-1.272006242,5.9 ,-1.3 ,6 ,-1 
5.826227747,-1.305625497,5.8 ,-1.3 ,6 ,-1 
5.738750442,-1.340908082,5.7 ,-1.3 ,6 ,-1 
5.678453808,-1.368582325,5.7 ,-1.4 ,6 ,-1 
5.640797564,-1.387656356,5.6 ,-1.4 ,6 ,-1 
5.605180937,-1.407259052,5.6 ,-1.4 ,6 ,-1 
5.571609865,-1.427415651,5.6 ,-1.4 ,6 ,-1 
5.540091366,-1.448151392,5.5 ,-1.4 ,6 ,-1 
5.510631379,-1.469491108,5.5 ,-1.5 ,6 ,-1 
5.483235302,-1.491460175,5.5 ,-1.5 ,5 ,-1 
5.457910154,-1.51408356,5.5 ,-1.5 ,5 ,-2 
5.434661334,-1.537386502,5.4 ,-1.5 ,5 ,-2 
5.413495859,-1.561393835,5.4 ,-1.6 ,5 ,-2 
5.394418589,-1.586131068,5.4 ,-1.6 ,5 ,-2 
5.377436541,-1.6116229,5.4 ,-1.6 ,5 ,-2 
5.362555655,-1.637894704,5.4 ,-1.6 ,5 ,-2 
5.349781868,-1.664971449,5.3 ,-1.7 ,5 ,-2 
5.33912166,-1.692878375,5.3 ,-1.7 ,5 ,-2 
5.330580968,-1.721640449,5.3 ,-1.7 ,5 ,-2 
5.324166272,-1.751282911,5.3 ,-1.8 ,5 ,-2 
5.31988297,-1.78183073,5.3 ,-1.8 ,5 ,-2 
5.317737539,-1.813309144,5.3 ,-1.8 ,5 ,-2 
5.31773592,-1.845743257,5.3 ,-1.8 ,5 ,-2 
5.319884589,-1.879158038,5.3 ,-1.9 ,5 ,-2 
5.324189486,-1.913578725,5.3 ,-1.9 ,5 ,-2 
5.33065655,-1.949030423,5.3 ,-1.9 ,5 ,-2 
5.339292798,-1.9855381,5.3 ,-2.0 ,5 ,-2 
5.350103089,-2.02312713,5.4 ,-2.0 ,5 ,-2 
5.363093902,-2.061822348,5.4 ,-2.1 ,5 ,-2 
5.378272255,-2.10164899,5.4 ,-2.1 ,5 ,-2 
5.395643006,-2.142632163,5.4 ,-2.1 ,5 ,-2 
5.415213175,-2.184796968,5.4 ,-2.2 ,5 ,-2 
5.436988699,-2.228168511,5.4 ,-2.2 ,5 ,-2 
5.473800051,-2.295543406,5.5 ,-2.3 ,5 ,-2 
5.530657195,-2.389834503,5.5 ,-2.4 ,6 ,-2 
5.596445894,-2.489404484,5.6 ,-2.5 ,6 ,-2 
5.671214195,-2.594454315,5.7 ,-2.6 ,6 ,-3 
5.755012308,-2.705184691,5.8 ,-2.7 ,6 ,-3 
5.847888279,-2.821796612,5.8 ,-2.8 ,6 ,-3 
5.949891237,-2.944490873,5.9 ,-2.9 ,6 ,-3 
6.06107031,-3.073468407,6.1 ,-3.1 ,6 ,-3 
6.120116365,-3.140376147,6.1 ,-3.1 ,6 ,-3 
6.150340512,-3.173867522,6.2 ,-3.2 ,6 ,-3 
6.211518749,-3.238639913,6.2 ,-3.2 ,6 ,-3 
6.273641752,-3.300512488,6.3 ,-3.3 ,6 ,-3 
6.336676051,-3.359542045,6.3 ,-3.4 ,6 ,-3 
6.400588172,-3.415785377,6.4 ,-3.4 ,6 ,-3 
6.465345186,-3.469299277,6.5 ,-3.5 ,6 ,-3 
6.530913079,-3.520140551,6.5 ,-3.5 ,7 ,-4 
6.59725892,-3.568365985,6.6 ,-3.6 ,7 ,-4 
6.664348697,-3.614032366,6.7 ,-3.6 ,7 ,-4 
6.732149479,-3.657196499,6.7 ,-3.7 ,7 ,-4 
6.800627793,-3.69791517,6.8 ,-3.7 ,7 ,-4 
6.869750169,-3.736245167,6.9 ,-3.7 ,7 ,-4 
6.939483134,-3.772243312,6.9 ,-3.8 ,7 ,-4 
7.009793216,-3.805966356,7.0 ,-3.8 ,7 ,-4 
7.080647484,-3.837471156,7.1 ,-3.8 ,7 ,-4 
7.152011386,-3.866814431,7.2 ,-3.9 ,7 ,-4 
7.22385253,-3.894053069,7.2 ,-3.9 ,7 ,-4 
7.296137445,-3.919243723,7.3 ,-3.9 ,7 ,-4 
7.368832119,-3.942443348,7.4 ,-3.9 ,7 ,-4 
7.44190308,-3.96370863,7.4 ,-4.0 ,7 ,-4 
7.515317935,-3.983096392,7.5 ,-4.0 ,8 ,-4 
7.589042135,-4.000663452,7.6 ,-4.0 ,8 ,-4 
7.663042746,-4.016466633,7.7 ,-4.0 ,8 ,-4 
7.737286297,-4.030562621,7.7 ,-4.0 ,8 ,-4 
7.811739317,-4.043008236,7.8 ,-4.0 ,8 ,-4 
7.886368333,-4.053860367,7.9 ,-4.1 ,8 ,-4 
7.961140414,-4.063175767,8.0 ,-4.1 ,8 ,-4 
8.036021548,-4.07101119,8.0 ,-4.1 ,8 ,-4 
8.148474706,-4.080113613,8.1 ,-4.1 ,8 ,-4 
8.298482613,-4.087600417,8.3 ,-4.1 ,8 ,-4 
8.448325861,-4.090189753,8.4 ,-4.1 ,8 ,-4 
8.597737215,-4.088335918,8.6 ,-4.1 ,9 ,-4 
8.746448902,-4.082493278,8.7 ,-4.1 ,9 ,-4 
8.894194228,-4.073116131,8.9 ,-4.1 ,9 ,-4 
9.040704338,-4.060658908,9.0 ,-4.1 ,9 ,-4 
9.185713619,-4.045575977,9.2 ,-4.0 ,9 ,-4 
9.328953217,-4.028321634,9.3 ,-4.0 ,9 ,-4 
9.470156438,-4.009350245,9.5 ,-4.0 ,9 ,-4 
9.677558116,-3.978667595,9.7 ,-4.0 ,10 ,-4 
9.944471462,-3.935988431,9.9 ,-3.9 ,10 ,-4 
10.19842477,-3.894619524,10.2 ,-3.9 ,10 ,-4 
10.37909872,-3.866639244,10.4 ,-3.9 ,10 ,-4 
10.49438402,-3.850288335,10.5 ,-3.9 ,10 ,-4 
10.60522622,-3.836309566,10.6 ,-3.8 ,11 ,-4 
10.71135862,-3.825157336,10.7 ,-3.8 ,11 ,-4 
10.81251237,-3.817285944,10.8 ,-3.8 ,11 ,-4 
10.90842077,-3.813149789,10.9 ,-3.8 ,11 ,-4 
10.99881713,-3.813203202,11.0 ,-3.8 ,11 ,-4 
11.06283669,-3.816266001,11.1 ,-3.8 ,11 ,-4 
11.10365385,-3.819853753,11.1 ,-3.8 ,11 ,-4 
11.14294211,-3.824744473,11.1 ,-3.8 ,11 ,-4 
11.18066908,-3.830994949,11.2 ,-3.8 ,11 ,-4 
11.2168002,-3.838661967,11.2 ,-3.8 ,11 ,-4 
11.25130308,-3.84780235,11.3 ,-3.8 ,11 ,-4 
11.28414317,-3.858472883,11.3 ,-3.9 ,11 ,-4 
11.315287,-3.870730354,11.3 ,-3.9 ,11 ,-4 
11.34470326,-3.884631585,11.3 ,-3.9 ,11 ,-4 
11.37235524,-3.900233261,11.4 ,-3.9 ,11 ,-4 
11.39821269,-3.917592338,11.4 ,-3.9 ,11 ,-4 
11.42224,-3.936765502,11.4 ,-3.9 ,11 ,-4 
11.44440477,-3.957809574,11.4 ,-4.0 ,11 ,-4 
11.46467353,-3.980781376,11.5 ,-4.0 ,11 ,-4 
11.4830128,-4.00573766,11.5 ,-4.0 ,11 ,-4 
11.49938804,-4.032735247,11.5 ,-4.0 ,11 ,-4 
11.51376685,-4.061830959,11.5 ,-4.1 ,12 ,-4 
11.52611684,-4.093081482,11.5 ,-4.1 ,12 ,-4 
11.53640238,-4.126543771,11.5 ,-4.1 ,12 ,-4 
11.54459216,-4.162274445,11.5 ,-4.2 ,12 ,-4 
11.55065054,-4.200330392,11.6 ,-4.2 ,12 ,-4 
11.55454622,-4.240768434,11.6 ,-4.2 ,12 ,-4 
11.55624464,-4.283645324,11.6 ,-4.3 ,12 ,-4 
11.55571233,-4.329017883,11.6 ,-4.3 ,12 ,-4 
11.5529169,-4.376942864,11.6 ,-4.4 ,12 ,-4 
11.54782272,-4.427477088,11.5 ,-4.4 ,12 ,-4 
11.54039955,-4.480677377,11.5 ,-4.5 ,12 ,-4 
11.53061069,-4.536600416,11.5 ,-4.5 ,12 ,-5 
11.51842482,-4.595303094,11.5 ,-4.6 ,12 ,-5 
11.50380846,-4.656842232,11.5 ,-4.7 ,12 ,-5 
11.48672708,-4.721274515,11.5 ,-4.7 ,11 ,-5 
11.46714719,-4.7886569,11.5 ,-4.8 ,11 ,-5 
11.44503749,-4.859046073,11.4 ,-4.9 ,11 ,-5 
11.42036234,-4.93249872,11.4 ,-4.9 ,11 ,-5 
11.39308828,-5.009071796,11.4 ,-5.0 ,11 ,-5 
11.36318398,-5.088822122,11.4 ,-5.1 ,11 ,-5 
11.31331865,-5.214529009,11.3 ,-5.2 ,11 ,-5 
11.23731082,-5.393788379,11.2 ,-5.4 ,11 ,-5 
11.15017417,-5.58677872,11.2 ,-5.6 ,11 ,-6 
11.05164201,-5.793954734,11.1 ,-5.8 ,11 ,-6 
10.94144766,-6.015770314,10.9 ,-6.0 ,11 ,-6 
10.81932333,-6.252679757,10.8 ,-6.3 ,11 ,-6 
10.68500125,-6.505137902,10.7 ,-6.5 ,11 ,-7 
10.53821472,-6.773598776,10.5 ,-6.8 ,11 ,-7 
10.3786949,-7.058516678,10.4 ,-7.1 ,10 ,-7 
10.29407725,-7.207289173,10.3 ,-7.2 ,10 ,-7 
10.26053643,-7.370464896,10.3 ,-7.4 ,10 ,-7 
10.19536804,-7.697559345,10.2 ,-7.7 ,10 ,-8 
10.13270787,-8.025560231,10.1 ,-8.0 ,10 ,-8 
10.07250409,-8.354365517,10.1 ,-8.4 ,10 ,-8 
10.0147038,-8.68387479,10.0 ,-8.7 ,10 ,-9 
9.959254093,-9.013985475,10.0 ,-9.0 ,10 ,-9 
9.906103135,-9.344597695,9.9 ,-9.3 ,10 ,-9 
9.855199101,-9.675608878,9.9 ,-9.7 ,10 ,-10 
9.806489087,-10.00691861,9.8 ,-10.0 ,10 ,-10 
9.759920183,-10.33842485,9.8 ,-10.3 ,10 ,-10 
9.715441644,-10.6700261,9.7 ,-10.7 ,10 ,-11 
9.672999482,-11.00162196,9.7 ,-11.0 ,10 ,-11 
9.63254187,-11.33311038,9.6 ,-11.3 ,10 ,-11 
9.59401698,-11.66438988,9.6 ,-11.7 ,10 ,-12 
9.557371907,-11.99535949,9.6 ,-12.0 ,10 ,-12 
9.522553743,-12.32591773,9.5 ,-12.3 ,10 ,-12 
9.48951174,-12.65596363,9.5 ,-12.7 ,9 ,-13 
9.458191912,-12.98539462,9.5 ,-13.0 ,9 ,-13 
9.428542432,-13.31411083,9.4 ,-13.3 ,9 ,-13 
9.400511472,-13.64200968,9.4 ,-13.6 ,9 ,-14 
9.374046125,-13.96899076,9.4 ,-14.0 ,9 ,-14 
9.349094565,-14.29495257,9.3 ,-14.3 ,9 ,-14 
9.314389773,-14.78176119,9.3 ,-14.8 ,9 ,-15 
